ITERAÇÃO 0:
1 2 1 1 1 1 
2 3 2 1 1 1 
1 2 1 1 1 1 
1 1 1 1 1 1 
1 1 1 1 1 1 
0 0 0 1 1 0 

ITERAÇÃO 1:
2 3 2 1 1 1 
3 3 3 2 1 1 
2 3 2 1 1 1 
1 2 1 1 1 1 
1 1 1 1 1 1 
0 0 0 1 1 0 

ITERAÇÃO 2:
3 3 3 2 1 1 
3 3 3 3 2 1 
3 3 3 2 1 1 
2 3 2 1 1 1 
1 2 1 1 1 1 
0 0 0 1 1 0 

ITERAÇÃO 3:
3 3 3 3 2 1 
3 3 3 3 3 2 
3 3 3 3 2 1 
3 3 3 2 1 1 
2 3 2 1 1 1 
0 0 0 1 1 0 

ITERAÇÃO 4:
3 3 3 3 3 2 
3 3 3 3 3 3 
3 3 3 3 3 2 
3 3 3 3 2 1 
3 3 3 2 1 1 
0 0 0 1 1 0 

ITERAÇÃO 5:
3 3 3 3 3 3 
3 3 3 3 3 3 
3 3 3 3 3 3 
3 3 3 3 3 2 
3 3 3 3 2 1 
0 0 0 2 1 0 

ITERAÇÃO 6:
3 3 3 3 3 3 
3 3 3 3 3 3 
3 3 3 3 3 3 
3 3 3 3 3 3 
3 3 3 3 3 2 
0 0 0 3 2 0 

ITERAÇÃO 7:
3 3 3 3 3 3 
3 3 3 3 3 3 
3 3 3 3 3 3 
3 3 3 3 3 3 
3 3 3 3 3 3 
0 0 0 3 3 0 


=== RELATÓRIO FINAL ===
TOTAL DE ITERAÇOES: 8
PASSOS DO ANIMAL: 5
ENCONTROS COM AGUA: 0
STATUS: ANIMAL SOBREVIVEL!
FIM...
